device,deviceId,deviceType,registerAddress,registerHex,variableName,dataTag,mapName,source,mapType,mapUnit,mapDescription,telemetryName,tags,aggregation,scope,rackLabel,whereTo,uiComponent,uiTab,uiField,uiFieldLabel
BSC Main,BSC-1,BSC,0,,,,Manufacturer,DeviceConfig,string,,"Cihaz manufacturer bilgisi — telemetry değil, cihaz kaydından gelir",,source: devices table,,system,,,"RackDetailModal
('Detay Göster' butonu → Genel Bilgiler sekmesi)",Genel Bilgiler,manufacturer,Üretici
BSC Main,BSC-1,BSC,0,,,,Model,DeviceConfig,string,,"Cihaz model bilgisi — telemetry değil, cihaz kaydından gelir",,source: devices table,,system,,,"RackDetailModal
('Detay Göster' butonu → Genel Bilgiler sekmesi)",Genel Bilgiler,model,Model
BSC Main,BSC-1,BSC,30000,0x7530,BSC1-1,bsc1_sw_ver,BSC S/W Version,NAMEPLATE,uint32,-,"BSC SW Version e.g.) 0x0102(30000), 0x1112(30001) → Ver 1.2.17.18",Version,"rack_id: system, component: bsc, deviceId: BSC-1",,system,,Dashboard,"RackDetailModal
('Detay Göster' butonu → Genel Bilgiler sekmesi)",Genel Bilgiler,firmwareVersion,Yazılım Sürümü
BSC Main,BSC-1,BSC,30005,0x7535,BSC1-2,bsc1_total_rack_no,No. of total racks,,uint16,ea,The number of total racks in the battery section e.g.) 0x000B → 11ea,Total Rack No,"rack_id: system, deviceId: BSC-1",,system,,Dashboard,,,,
BSC Main,BSC-1,BSC,30030,0x754e,BSC1-3,bsc1_acknowledge,Request Acknowledge,Request Acknowledge,uint16,enum,Initial status,Request Acknowledge,"rack_id: system, deviceId: BSC-1",,system,,Dashboard,,,,
BSC Main,BSC-1,BSC,30031,0x754f,BSC1-4,bsc1_last_accepted_req,Last Accepted Reqeust,,uint16,-,"Accepted request(Conroller → BSC 40010) will be written while the request ack.(30030) is In Progress(0x0001) or Done(0x0002) If the request is not accepted or turn to None (in 30030), this value will ",Last Accepted Req,"rack_id: system, deviceId: BSC-1",,system,,Dashboard,,,,
BSC Main,BSC-1,BSC,30035,0x7553,BSC1-5,bsc1_heartbeat,BSC Heartbeat,Essential                                           Essentia,uint16,-,The value of this continually cycles from 0(zero) to 65535 with an interval of 1second.,Heartbeat,"rack_id: system, deviceId: BSC-1",,system,,Dashboard,"RackDetailModal
('Detay Göster' butonu → Telemetri sekmesi)",Telemetri,heartbeat,Heartbeat
BSC Main,BSC-1,BSC,30036,0x7554,BSC1-6,bsc1_state,BSC State,,uint16,enum,Read the BSC operation manual for more information.,State,"rack_id: system, deviceId: BSC-1",,system,,Dashboard & Control,"RackDetailModal
('Detay Göster' butonu → Telemetri sekmesi)",Telemetri,state,Durum Kodu
BSC Main,BSC-1,BSC,30037,0x7555,,bsc_alarm,BSC Alarm,bitfieldConfigs (reg 30037),bitfield,-,BSC Alarm,BSC Alarm,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,BSC Durumu,BSC Alarm
BSC Main,BSC-1,BSC,30037,0x7555,,bsc_warning,BSC Warning,bitfieldConfigs (reg 30037),bitfield,-,BSC Warning,BSC Warning,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,BSC Durumu,BSC Warning
